feature,adjust,hold,lift,other,place,press,rotate,Mean_Importance
z_2_mean_5,0.000181214503399661,0.014138157722147503,0.0038158559376865967,0.004536865345568761,0.01915810140793155,0.00018108587911401844,0.007852455433723626,0.007123390889938817
z_4_mean_5,0.010775026715690436,0.003777617413556218,0.007596466161729976,0.008109003415034767,0.012118236307203005,0.004495628569715644,0.0019041587607267663,0.006968019620522402
x_0,0.003840472923012706,0.0024280924461743346,0.0186425448288571,0.009982547490354465,0.0046373133894218955,0.003024776192557646,0.0046897894271603,0.006749362385362635
x_20_std_5,0.0007546986887405683,0.006935516554589053,0.004928746829759738,0.00218340978860294,0.028862522908333892,0.0001408074112894332,0.0025342479547908257,0.006619992876586636
lmk_3_speed,0.0031521727448561247,0.0029544616982373163,0.00038086479211901563,0.000639093704506348,0.0007522442484355662,0.037457173671014005,0.0009599974271463174,0.006613715469473527
z_0,0.0002738692004219081,0.0007638375976258577,0.015007020925346615,0.022880746912575575,0.0013746393400131565,0.00018456276708857564,0.005559441592802131,0.006577731190839117
y_16_std_5,0.0006868395227492895,0.0007173732047522969,0.00043939872684674465,0.006905008064431049,0.00027138196594774004,0.029425814782233786,0.007230150671869232,0.006525138134118591
y_15_std_5,0.0007121804546906446,0.002538710862250758,0.00018892604463283295,0.0019667149548894644,0.0003953812224152038,0.03662315348482685,0.003182237678009934,0.006515329243102241
x_4_std_5,0.00044152025190866324,0.008759361530819276,0.0022666275332712885,0.006153509593568676,0.02332199090848653,5.3589990101236917e-05,0.003342631645228939,0.006334175921912087
lmk_15_speed,0.0002843220573162758,0.0016464545904152838,1.801663423605224e-05,0.0006752045768986402,0.00017955952526600014,0.03680708845404445,0.003112206027560474,0.006103264552248168
y_18_std_5,0.0004473005202060292,0.023397981762544134,0.0008156616925373857,0.0008676336953901086,0.00017788499020065615,0.007838101166026616,0.008501087415212405,0.006006521606016763
z_7_std_5,0.037647659063576665,0.0008134227479104123,7.730255453706798e-05,0.0012115166485912002,0.000423204008250986,0.00010063169015316574,0.0012943497819549773,0.00593829807071064
lmk_11_speed,0.0014954665611147625,0.00031498290148500736,0.0002531401551838447,0.0006899079320696315,0.00018045374590683441,0.03738230579384513,0.0004182566608932751,0.005819216250071213
y_17_std_5,0.0005682682933332168,0.0028828955999590216,0.0006659031589625357,0.002562318199231797,0.00037497851765379064,0.00014912374524922326,0.03332135530293952,0.005789263259618442
z_15_std_5,0.0003035588455886376,0.016603642963135528,0.00039152605469705136,0.000908874815249067,0.006628660454710422,7.810599297901933e-05,0.014586963429599054,0.005643047507994111
y_2_std_5,0.0011340686154941342,0.005559919558327004,0.00012780076087920216,0.006880718614007266,0.00015546852629265813,0.022194466230061223,0.0022048732068270693,0.005465330787412652
x_2,0.00015908561849011633,0.002500432864997355,0.030061414685484115,0.001352372868965072,0.00023695243384851665,0.0001687776336774052,0.003236152972741842,0.005387884154029203
y_0,0.00014166283052537005,0.027204192602894563,0.00368375261231434,0.002776592194322699,0.0004626214810348693,0.0003083792033801025,0.002985332991087069,0.005366076273651287
x_2_std_5,0.009394868657409848,0.005607766868351089,0.0008002906343748456,0.012283925444981842,0.00693068254047303,8.729185105594001e-05,0.0024176857171822187,0.005360358816261258
